16.722.9,17.0,19.2
17.030.6,22.2,30.0
20.128.4,21.0,25.8
20.827.3,23.8,26.8
20.126.7,24.0,24.6
21.428.4,23.5,27.3
20.230.3,24.5,28.9
20.531.7,23.4,31.3
21.236.0,26.5,34.8
25.531.3,28.1,26.5
21.427.0,24.3,25.4
20.625.7,21.4,24.6
14.626.0,18.9,24.7
14.428.2,19.5,28.1
17.230.7,22.9,29.5
18.834.1,24.9,32.6
16.129.9,25.0,28.5
17.533.3,24.3,31.1
17.337.6,29.2,36.1
15.537.3,28.3,36.7
16.237.6,30.5,33.8
19.227.5,21.7,25.2
13.824.4,17.2,24.0
13.524.9,18.5,23.0
11.725.5,18.6,23.5
11.126.8,20.2,25.5
12.628.3,20.7,26.1
12.733.2,22.6,30.1
17.339.0,25.2,34.7
20.829.6,25.3,28.5
19.726.9,21.3,25.4
